,address,lat,lon,name
171,"Nieuweweg 33b  Hoofddorp,  Noord-Holland 2132 CK",52.3051935,4.6995687,Afdeling Haarlemmermeer
172,"Rijpersweg 36  Oud Gastel,  Noord-Brabant 4751 AS",51.5939298,4.4603105,Afdeling Halderberge
173,"Maltezerlaan 3  Harderwijk,  Gelderland 3842 AZ",52.3437448,5.6239057,Afdeling Harderwijk
174,"Maltezerlaan 3  Harderwijk,  Gelderland 3842 AZ",52.3438051,5.6246713,Afdeling Harderwijk
175,"Damstraat 26  Hardinxveld-Giessendam,  Zuid-Holland 3371 AD",51.8296819,4.8353419,Afdeling Hardinxveld-Giessendam e.o.
176,"Damstraat 26  Hardinxveld-Giessendam,  Zuid-Holland 3371 AD",51.8296819,4.8353419,Afdeling Hardinxveld-Giessendam e.o.
177,"Damstraat 26  Hardinxveld-Giessendam,  Zuid-Holland 3371 AD",51.8296819,4.8353419,Afdeling Hardinxveld-Giessendam e.o.
178,"Van Galenstraat 40  Hattem,  Gelderland 8051 VC",52.4726549,6.0644266,Afdeling Hattem/Wapenveld
179,"Van Galenstraat 40  Hattem,  Gelderland 8051 VC",52.4727341,6.0641534,Afdeling Hattem/Wapenveld
180,"Van Galenstraat 40  Hattem,  Gelderland 8051 VC",52.4727341,6.0641534,Afdeling Hattem/Wapenveld
181,"Nobelstraat 51  Heerlen,  Limburg 6411 EL",50.8838638,5.9793016,Afdeling Heerlen e.o.
182,"Nobelstraat 51  Heerlen,  Limburg 6411 EL",50.8838638,5.9793016,Afdeling Heerlen e.o.
183,"Nobelstraat 51  Heerlen,  Limburg 6411 EL",50.8838638,5.9793016,Afdeling Heerlen e.o.
184,"Slimpad 16 C  Heiloo,  Noord-Holland 1851 LB",52.601363,4.7101984,Afdeling Heiloo
185,"Slimpad 16 C  Heiloo,  Noord-Holland 1851 LB",52.6013630,4.7101984,Afdeling Heiloo
186,"Slimpad 16 C  Heiloo,  Noord-Holland 1851 LB",52.6013630,4.7101984,Afdeling Heiloo
187,"Rembrandtplein 19  Nijverdal,  Overijssel 7442 KH",52.3597058,6.4658531,Afdeling Hellendoorn - Nijverdal
188,"Rembrandtplein 19  Nijverdal,  Overijssel 7442 KH",52.3597058,6.4658531,Afdeling Hellendoorn - Nijverdal
189,"Rembrandtplein 19  Nijverdal,  Overijssel 7442 KH",52.3597058,6.4658531,Afdeling Hellendoorn - Nijverdal
190,"Nachtegaallaan 215  Helmond,  Noord-Brabant 5702 KM",51.4978012,5.6658597,Afdeling Helmond e.o.
191,"Nachtegaallaan 215  Helmond,  Noord-Brabant 5702 KM",51.4978012,5.6658597,Afdeling Helmond e.o.
192,"Marnixstraat 1  Hengelo,  Overijssel 7553 LC",52.2526080,6.8000568,Afdeling Hengelo-Borne
193,"Marnixstraat 1  Hengelo,  Overijssel 7553 LC",52.2526080,6.8000568,Afdeling Hengelo-Borne
194,"De Klapstaarten 5  Esbeek,  Noord-Brabant 5085 GA",51.4625136,5.1368906,Afdeling Hilvarenbeek
195,"Julianastraat 11  Oud-Beijerland,  Zuid-Holland 3262 SH",51.8238306,4.4135334,Afdeling Hoeksche Waard
196,"Julianastraat 11  Oud-Beijerland,  Zuid-Holland 3262 SH",51.8238284,4.4131558,Afdeling Hoeksche Waard
197,"Julianastraat 11  Oud-Beijerland,  Zuid-Holland 3262 SH",51.8238284,4.4131558,Afdeling Hoeksche Waard
198,"Kloosterlaan 25  Goor,  Overijssel 7471 BA",52.2363423,6.5911715,Afdeling Hof van Twente
199,"Saffier 16  Julianadorp,  Noord-Holland 1761 VD",52.8613106,4.8191593,Afdeling Hollands Kroon
200,"Saffier 16  Julianadorp,  Noord-Holland 1761 VD",52.8613668,4.8192120,Afdeling Hollands Kroon
201,"De Waring 38  Hoogeveen,  Drenthe 7908 LE",52.7136499,6.443421,Afdeling Hoogeveen
202,"De Waring 38  Hoogeveen,  Drenthe 7908 LE",52.7137702,6.4434996,Afdeling Hoogeveen
203,"De Waring 38  Hoogeveen,  Drenthe 7908 LE",52.7137702,6.4434996,Afdeling Hoogeveen
204,"Gebroeders van Doornelaan 63  Horst,  Limburg 5961 BB",51.4645906,6.0480882,Afdeling Horst aan de Maas
205,"Gebroeders van Doornelaan 63  Horst,  Limburg 5961 BB",51.4645906,6.0480882,Afdeling Horst aan de Maas
206,"Gebroeders van Doornelaan 63  Horst,  Limburg 5961 BB",51.4645906,6.0480882,Afdeling Horst aan de Maas
207,"Dijkhoeve 4  Houten,  Utrecht 3992 XV",52.034488,5.1652678,Afdeling Houten
